O,D,time_minutes
10473,10001,68.0
10473,10002,73.0
10473,10003,72.0
10473,10004,72.0
10473,10005,74.0
10473,10006,72.0
10473,10007,71.0
10473,10009,79.0
10473,10010,69.0
10473,10011,68.0
10473,10012,73.0
10473,10013,74.0
10473,10014,72.0
10473,10016,67.0
10473,10017,40.0
10473,10018,68.0
10473,10019,66.0
10473,10020,59.0
10473,10021,55.0
10473,10022,60.0
10473,10023,52.0
10473,10024,61.0
10473,10025,55.0
10473,10026,48.0
10473,10027,44.0
10473,10028,35.0
10473,10029,40.0
10473,10030,58.0
10473,10031,80.0
10473,10032,73.0
10473,10033,80.0
10473,10034,64.0
10473,10035,23.0
10473,10036,70.0
10473,10037,47.0
10473,10038,78.0
10473,10039,65.0
10473,10040,74.0
10473,10041,78.0
10473,10043,76.0
10473,10044,69.0
10473,10045,72.0
10473,10047,59.0
10473,10048,73.0
10473,10055,48.0
10473,10065,56.0
10473,10069,67.0
10473,10075,46.0
10473,10080,72.0
10473,10081,71.0
10473,10096,66.0
10473,10097,65.0
10473,10103,58.0
10473,10104,59.0
10473,10105,60.0
10473,10106,58.0
10473,10107,65.0
10473,10110,38.0
10473,10111,57.0
10473,10112,60.0
10473,10115,72.0
10473,10118,68.0
10473,10119,56.0
10473,10120,56.0
10473,10121,55.0
10473,10122,56.0
10473,10123,54.0
10473,10128,34.0
10473,10151,45.0
10473,10152,53.0
10473,10153,44.0
10473,10154,48.0
10473,10155,33.0
10473,10158,59.0
10473,10162,57.0
10473,10165,35.0
10473,10166,48.0
10473,10167,38.0
10473,10168,34.0
10473,10169,46.0
10473,10170,35.0
10473,10171,54.0
10473,10172,55.0
10473,10174,35.0
10473,10178,35.0
10473,10196,69.0
10473,10203,68.0
10473,10259,70.0
10473,10260,79.0
10473,10265,74.0
10473,10270,74.0
10473,10271,70.0
10473,10275,71.0
10473,10278,68.0
10473,10279,76.0
10473,10280,76.0
10473,10281,86.0
10473,10282,82.0
10473,10285,77.0
10473,10286,71.0
10473,10301,127.0
10473,10302,129.0
10473,10303,142.0
10473,10304,112.0
10473,10305,106.0
10473,10306,126.0
10473,10307,131.0
10473,10308,129.0
10473,10309,151.0
10473,10310,122.0
10473,10312,118.0
10473,10314,124.0
10473,10451,45.0
10473,10452,46.0
10473,10453,64.0
10473,10454,35.0
10473,10455,36.0
10473,10456,46.0
10473,10457,55.0
10473,10458,50.0
10473,10459,31.0
10473,10460,32.0
10473,10461,46.0
10473,10462,22.0
10473,10463,72.0
10473,10464,86.0
10473,10465,30.0
10473,10466,64.0
10473,10467,45.0
10473,10468,55.0
10473,10469,56.0
10473,10470,73.0
10473,10471,96.0
10473,10472,18.0
10473,10473,0.0
10473,10474,35.0
10473,10475,46.0
10473,11001,127.0
10473,11004,115.0
10473,11005,114.0
10473,11040,119.0
10473,11096,135.0
10473,11101,68.0
10473,11102,77.0
10473,11103,77.0
10473,11104,71.0
10473,11105,73.0
10473,11106,72.0
10473,11109,66.0
10473,11201,67.0
10473,11203,103.0
10473,11204,106.0
10473,11205,90.0
10473,11206,81.0
10473,11207,102.0
10473,11208,97.0
10473,11209,97.0
10473,11210,106.0
10473,11211,82.0
10473,11212,104.0
10473,11213,96.0
10473,11214,112.0
10473,11215,82.0
10473,11216,78.0
10473,11217,72.0
10473,11218,109.0
10473,11219,99.0
10473,11220,95.0
10473,11221,88.0
10473,11222,76.0
10473,11223,109.0
10473,11224,116.0
10473,11225,82.0
10473,11226,105.0
10473,11228,105.0
10473,11229,115.0
10473,11230,104.0
10473,11231,94.0
10473,11232,85.0
10473,11233,92.0
10473,11234,122.0
10473,11235,114.0
10473,11236,114.0
10473,11237,75.0
10473,11238,81.0
10473,11239,127.0
10473,11249,73.0
10473,11251,97.0
10473,11354,60.0
10473,11355,71.0
10473,11356,76.0
10473,11357,62.0
10473,11358,77.0
10473,11359,83.0
10473,11360,85.0
10473,11361,75.0
10473,11362,116.0
10473,11363,85.0
10473,11364,103.0
10473,11365,90.0
10473,11366,104.0
10473,11367,83.0
10473,11368,77.0
10473,11369,77.0
10473,11370,72.0
10473,11371,101.0
10473,11372,81.0
10473,11373,77.0
10473,11374,79.0
10473,11375,80.0
10473,11377,73.0
10473,11378,96.0
10473,11379,103.0
10473,11385,102.0
10473,11411,132.0
10473,11412,121.0
10473,11413,107.0
10473,11414,123.0
10473,11415,96.0
10473,11416,106.0
10473,11417,104.0
10473,11418,100.0
10473,11419,110.0
10473,11420,122.0
10473,11421,104.0
10473,11422,114.0
10473,11423,99.0
10473,11426,117.0
10473,11427,103.0
10473,11428,113.0
10473,11429,118.0
10473,11430,137.0
10473,11432,81.0
10473,11433,113.0
10473,11434,127.0
10473,11435,95.0
10473,11436,122.0
10474,10001,51.0
10474,10002,70.0
10474,10003,53.0
10474,10004,58.0
10474,10005,58.0
10474,10006,56.0
10474,10007,54.0
10474,10009,67.0
10474,10010,51.0
10474,10011,51.0
10474,10012,56.0
10474,10013,58.0
10474,10014,55.0
10474,10016,52.0
10474,10017,49.0
10474,10018,51.0
10474,10019,55.0
10474,10020,50.0
10474,10021,42.0
10474,10022,50.0
10474,10023,39.0
10474,10024,37.0
10474,10025,41.0
10474,10026,34.0
10474,10027,43.0
10474,10028,42.0
10474,10029,36.0
10474,10030,36.0
10474,10031,45.0
10474,10032,40.0
10474,10033,56.0
10474,10034,61.0
10474,10035,34.0
10474,10036,53.0
10474,10037,32.0
10474,10038,58.0
10474,10039,45.0
10474,10040,57.0
10474,10041,68.0
10474,10043,61.0
10474,10044,48.0
10474,10045,56.0
10474,10047,50.0
10474,10048,59.0
10474,10055,42.0
10474,10065,43.0
10474,10069,50.0
10474,10075,44.0
10474,10080,57.0
10474,10081,57.0
10474,10096,52.0
10474,10097,52.0
10474,10103,49.0
10474,10104,50.0
10474,10105,51.0
10474,10106,51.0
10474,10107,51.0
10474,10110,49.0
10474,10111,44.0
10474,10112,50.0
10474,10115,51.0
10474,10118,50.0
10474,10119,43.0
10474,10120,43.0
10474,10121,43.0
10474,10122,45.0
10474,10123,43.0
10474,10128,40.0
10474,10151,43.0
10474,10152,43.0
10474,10153,41.0
10474,10154,42.0
10474,10155,42.0
10474,10158,50.0
10474,10162,44.0
10474,10165,42.0
10474,10166,48.0
10474,10167,42.0
10474,10168,41.0
10474,10169,44.0
10474,10170,41.0
10474,10171,41.0
10474,10172,42.0
10474,10174,42.0
10474,10178,42.0
10474,10196,52.0
10474,10203,55.0
10474,10259,56.0
10474,10260,57.0
10474,10265,60.0
10474,10270,58.0
10474,10271,56.0
10474,10275,57.0
10474,10278,59.0
10474,10279,57.0
10474,10280,68.0
10474,10281,68.0
10474,10282,60.0
10474,10285,61.0
10474,10286,57.0
10474,10301,111.0
10474,10302,114.0
10474,10303,126.0
10474,10304,95.0
10474,10305,100.0
10474,10306,110.0
10474,10307,127.0
10474,10308,114.0
10474,10309,136.0
10474,10310,107.0
10474,10312,114.0
10474,10314,110.0
10474,10451,29.0
10474,10452,38.0
10474,10453,46.0
10474,10454,24.0
10474,10455,25.0
10474,10456,29.0
10474,10457,43.0
10474,10458,53.0
10474,10459,14.0
10474,10460,26.0
10474,10461,54.0
10474,10462,37.0
10474,10463,68.0
10474,10464,83.0
10474,10465,55.0
10474,10466,56.0
10474,10467,43.0
10474,10468,48.0
10474,10469,47.0
10474,10470,60.0
10474,10471,64.0
10474,10472,24.0
10474,10473,38.0
10474,10474,0.0
10474,10475,58.0
10474,11001,117.0
10474,11004,110.0
10474,11005,121.0
10474,11040,119.0
10474,11096,131.0
10474,11101,49.0
10474,11102,59.0
10474,11103,64.0
10474,11104,54.0
10474,11105,58.0
10474,11106,57.0
10474,11109,51.0
10474,11201,69.0
10474,11203,97.0
10474,11204,96.0
10474,11205,93.0
10474,11206,73.0
10474,11207,86.0
10474,11208,83.0
10474,11209,101.0
10474,11210,90.0
10474,11211,69.0
10474,11212,88.0
10474,11213,81.0
10474,11214,104.0
10474,11215,81.0
10474,11216,80.0
10474,11217,74.0
10474,11218,92.0
10474,11219,96.0
10474,11220,85.0
10474,11221,73.0
10474,11222,62.0
10474,11223,98.0
10474,11224,112.0
10474,11225,78.0
10474,11226,89.0
10474,11228,92.0
10474,11229,108.0
10474,11230,95.0
10474,11231,79.0
10474,11232,79.0
10474,11233,79.0
10474,11234,107.0
10474,11235,95.0
10474,11236,113.0
10474,11237,78.0
10474,11238,80.0
10474,11239,112.0
10474,11249,72.0
10474,11251,83.0
10474,11354,65.0
10474,11355,76.0
10474,11356,77.0
10474,11357,65.0
10474,11358,85.0
10474,11359,98.0
10474,11360,96.0
10474,11361,84.0
10474,11362,119.0
10474,11363,94.0
10474,11364,107.0
10474,11365,97.0
10474,11366,90.0
10474,11367,91.0
10474,11368,70.0
10474,11369,82.0
10474,11370,57.0
10474,11371,83.0
10474,11372,68.0
10474,11373,63.0
10474,11374,65.0
10474,11375,65.0
10474,11377,58.0
10474,11378,85.0
10474,11379,93.0
10474,11385,87.0
10474,11411,106.0
10474,11412,99.0
10474,11413,93.0
10474,11414,108.0
10474,11415,79.0
10474,11416,99.0
10474,11417,99.0
10474,11418,82.0
10474,11419,93.0
10474,11420,103.0
10474,11421,101.0
10474,11422,99.0
10474,11423,93.0
10474,11426,110.0
10474,11427,102.0
10474,11428,114.0
10474,11429,104.0
10474,11430,118.0
10474,11432,77.0
10474,11433,91.0
10474,11434,105.0
10474,11435,76.0
10474,11436,94.0
10475,10001,74.0
10475,10002,70.0
10475,10003,57.0
10475,10004,63.0
10475,10005,63.0
10475,10006,62.0
10475,10007,62.0
10475,10009,67.0
10475,10010,73.0
10475,10011,75.0
10475,10012,60.0
10475,10013,64.0
10475,10014,67.0
10475,10016,62.0
10475,10017,67.0
10475,10018,61.0
10475,10019,70.0
10475,10020,58.0
10475,10021,54.0
10475,10022,55.0
10475,10023,66.0
10475,10024,59.0
10475,10025,64.0
10475,10026,59.0
10475,10027,45.0
10475,10028,40.0
10475,10029,45.0
10475,10030,60.0
10475,10031,67.0
10475,10032,72.0
10475,10033,73.0
10475,10034,62.0
10475,10035,28.0
10475,10036,73.0
10475,10037,58.0
10475,10038,63.0
10475,10039,60.0
10475,10040,74.0
10475,10041,69.0
10475,10043,66.0
10475,10044,55.0
10475,10045,61.0
10475,10047,60.0
10475,10048,64.0
10475,10055,55.0
10475,10065,68.0
10475,10069,72.0
10475,10075,50.0
10475,10080,62.0
10475,10081,62.0
10475,10096,61.0
10475,10097,67.0
10475,10103,56.0
10475,10104,57.0
10475,10105,65.0
10475,10106,65.0
10475,10107,66.0
10475,10110,60.0
10475,10111,55.0
10475,10112,58.0
10475,10115,53.0
10475,10118,66.0
10475,10119,61.0
10475,10120,69.0
10475,10121,62.0
10475,10122,69.0
10475,10123,71.0
10475,10128,39.0
10475,10151,51.0
10475,10152,57.0
10475,10153,50.0
10475,10154,56.0
10475,10155,54.0
10475,10158,68.0
10475,10162,53.0
10475,10165,50.0
10475,10166,70.0
10475,10167,70.0
10475,10168,63.0
10475,10169,46.0
10475,10170,49.0
10475,10171,57.0
10475,10172,60.0
10475,10174,63.0
10475,10178,70.0
10475,10196,62.0
10475,10203,60.0
10475,10259,61.0
10475,10260,64.0
10475,10265,65.0
10475,10270,64.0
10475,10271,61.0
10475,10275,62.0
10475,10278,60.0
10475,10279,62.0
10475,10280,67.0
10475,10281,70.0
10475,10282,71.0
10475,10285,67.0
10475,10286,62.0
10475,10301,130.0
10475,10302,132.0
10475,10303,152.0
10475,10304,113.0
10475,10305,114.0
10475,10306,129.0
10475,10307,139.0
10475,10308,133.0
10475,10309,145.0
10475,10310,125.0
10475,10312,126.0
10475,10314,136.0
10475,10451,58.0
10475,10452,71.0
10475,10453,62.0
10475,10454,45.0
10475,10455,47.0
10475,10456,66.0
10475,10457,52.0
10475,10458,42.0
10475,10459,43.0
10475,10460,15.0
10475,10461,38.0
10475,10462,60.0
10475,10463,68.0
10475,10464,51.0
10475,10465,39.0
10475,10466,43.0
10475,10467,31.0
10475,10468,56.0
10475,10469,17.0
10475,10470,53.0
10475,10471,78.0
10475,10472,44.0
10475,10473,47.0
10475,10474,70.0
10475,10475,0.0
10475,11001,130.0
10475,11004,114.0
10475,11005,129.0
10475,11040,130.0
10475,11096,147.0
10475,11101,58.0
10475,11102,70.0
10475,11103,73.0
10475,11104,73.0
10475,11105,69.0
10475,11106,68.0
10475,11109,61.0
10475,11201,68.0
10475,11203,111.0
10475,11204,114.0
10475,11205,104.0
10475,11206,90.0
10475,11207,111.0
10475,11208,108.0
10475,11209,104.0
10475,11210,115.0
10475,11211,70.0
10475,11212,113.0
10475,11213,92.0
10475,11214,108.0
10475,11215,95.0
10475,11216,93.0
10475,11217,73.0
10475,11218,114.0
10475,11219,97.0
10475,11220,103.0
10475,11221,92.0
10475,11222,75.0
10475,11223,120.0
10475,11224,129.0
10475,11225,98.0
10475,11226,115.0
10475,11228,113.0
10475,11229,117.0
10475,11230,112.0
10475,11231,100.0
10475,11232,99.0
10475,11233,99.0
10475,11234,125.0
10475,11235,112.0
10475,11236,135.0
10475,11237,76.0
10475,11238,96.0
10475,11239,130.0
10475,11249,74.0
10475,11251,96.0
10475,11354,61.0
10475,11355,69.0
10475,11356,69.0
10475,11357,67.0
10475,11358,76.0
10475,11359,88.0
10475,11360,94.0
10475,11361,74.0
10475,11362,115.0
10475,11363,90.0
10475,11364,99.0
10475,11365,95.0
10475,11366,102.0
10475,11367,91.0
10475,11368,73.0
10475,11369,80.0
10475,11370,68.0
10475,11371,101.0
10475,11372,82.0
10475,11373,76.0
10475,11374,92.0
10475,11375,72.0
10475,11377,76.0
10475,11378,115.0
10475,11379,112.0
10475,11385,107.0
10475,11411,131.0
10475,11412,125.0
10475,11413,120.0
10475,11414,135.0
10475,11415,110.0
10475,11416,112.0
10475,11417,112.0
10475,11418,114.0
10475,11419,119.0
10475,11420,117.0
10475,11421,114.0
10475,11422,127.0
10475,11423,101.0
10475,11426,116.0
10475,11427,104.0
10475,11428,110.0
10475,11429,120.0
10475,11430,151.0
10475,11432,99.0
10475,11433,119.0
10475,11434,119.0
10475,11435,100.0
10475,11436,121.0
11001,10001,80.0
11001,10002,101.0
11001,10003,87.0
11001,10004,103.0
11001,10005,103.0
11001,10006,102.0
11001,10007,95.0
11001,10009,106.0
11001,10010,92.0
11001,10011,89.0
11001,10012,90.0
11001,10013,108.0
11001,10014,97.0
11001,10016,99.0
11001,10017,87.0
11001,10018,85.0
11001,10019,89.0
11001,10020,75.0
11001,10021,89.0
11001,10022,73.0
11001,10023,94.0
11001,10024,98.0
11001,10025,105.0
11001,10026,107.0
11001,10027,100.0
11001,10028,92.0
11001,10029,98.0
11001,10030,105.0
11001,10031,105.0
11001,10032,105.0
11001,10033,116.0
11001,10034,120.0
11001,10035,100.0
11001,10036,100.0
11001,10037,102.0
11001,10038,103.0
11001,10039,106.0
11001,10040,107.0
11001,10041,97.0
11001,10043,97.0
11001,10044,68.0
11001,10045,101.0
11001,10047,87.0
11001,10048,103.0
11001,10055,73.0
11001,10065,81.0
11001,10069,107.0
11001,10075,95.0
11001,10080,102.0
11001,10081,101.0
11001,10096,77.0
11001,10097,81.0
11001,10103,75.0
11001,10104,74.0
11001,10105,72.0
11001,10106,76.0
11001,10107,79.0
11001,10110,78.0
11001,10111,77.0
11001,10112,74.0
11001,10115,100.0
11001,10118,84.0
11001,10119,78.0
11001,10120,87.0
11001,10121,78.0
11001,10122,85.0
11001,10123,83.0
11001,10128,97.0
11001,10151,71.0
11001,10152,73.0
11001,10153,72.0
11001,10154,94.0
11001,10155,69.0
11001,10158,90.0
11001,10162,97.0
11001,10165,84.0
11001,10166,84.0
11001,10167,83.0
11001,10168,80.0
11001,10169,82.0
11001,10170,81.0
11001,10171,81.0
11001,10172,83.0
11001,10174,81.0
11001,10178,81.0
11001,10196,74.0
11001,10203,100.0
11001,10259,100.0
11001,10260,103.0
11001,10265,95.0
11001,10270,104.0
11001,10271,100.0
11001,10275,102.0
11001,10278,91.0
11001,10279,109.0
11001,10280,99.0
11001,10281,116.0
11001,10282,116.0
11001,10285,113.0
11001,10286,102.0
11001,10301,125.0
11001,10302,128.0
11001,10303,148.0
11001,10304,112.0
11001,10305,117.0
11001,10306,125.0
11001,10307,150.0
11001,10308,129.0
11001,10309,166.0
11001,10310,124.0
11001,10312,137.0
11001,10314,131.0
11001,10451,106.0
11001,10452,110.0
11001,10453,129.0
11001,10454,103.0
11001,10455,109.0
11001,10456,121.0
11001,10457,127.0
11001,10458,128.0
11001,10459,119.0
11001,10460,114.0
11001,10461,121.0
11001,10462,120.0
11001,10463,112.0
11001,10464,154.0
11001,10465,105.0
11001,10466,132.0
11001,10467,123.0
11001,10468,129.0
11001,10469,125.0
11001,10470,142.0
11001,10471,130.0
11001,10472,116.0
11001,10473,121.0
11001,10474,125.0
11001,10475,116.0
11001,11001,0.0
11001,11004,17.0
11001,11005,26.0
11001,11040,23.0
11001,11096,102.0
11001,11101,65.0
11001,11102,90.0
11001,11103,92.0
11001,11104,88.0
11001,11105,101.0
11001,11106,95.0
11001,11109,94.0
11001,11201,66.0
11001,11203,116.0
11001,11204,114.0
11001,11205,112.0
11001,11206,111.0
11001,11207,54.0
11001,11208,62.0
11001,11209,115.0
11001,11210,89.0
11001,11211,110.0
11001,11212,100.0
11001,11213,94.0
11001,11214,119.0
11001,11215,121.0
11001,11216,49.0
11001,11217,57.0
11001,11218,128.0
11001,11219,108.0
11001,11220,104.0
11001,11221,96.0
11001,11222,104.0
11001,11223,126.0
11001,11224,102.0
11001,11225,94.0
11001,11226,108.0
11001,11228,97.0
11001,11229,105.0
11001,11230,112.0
11001,11231,119.0
11001,11232,97.0
11001,11233,60.0
11001,11234,95.0
11001,11235,123.0
11001,11236,112.0
11001,11237,96.0
11001,11238,65.0
11001,11239,116.0
11001,11249,109.0
11001,11251,113.0
11001,11354,78.0
11001,11355,66.0
11001,11356,84.0
11001,11357,65.0
11001,11358,56.0
11001,11359,79.0
11001,11360,77.0
11001,11361,52.0
11001,11362,28.0
