w_zip,h_zip,SE01,SE02,SE03,total
10001,10001,304,239,680,1223
10001,10002,417,367,763,1547
10001,10003,417,177,1029,1623
10001,10004,43,24,113,180
10001,10005,22,25,189,236
10001,10006,22,9,70,101
10001,10007,42,18,111,171
10001,10009,419,309,1111,1839
10001,10010,196,108,642,946
10001,10011,458,258,1336,2052
10001,10012,132,90,442,664
10001,10013,161,69,444,674
10001,10014,265,136,694,1095
10001,10016,241,174,1118,1533
10001,10017,127,45,297,469
10001,10018,143,78,185,406
10001,10019,413,210,788,1411
10001,10021,121,77,584,782
10001,10022,155,87,482,724
10001,10023,392,163,903,1458
10001,10024,384,172,923,1479
10001,10025,664,375,1184,2223
10001,10026,324,286,442,1052
10001,10027,417,402,532,1351
10001,10028,157,107,638,902
10001,10029,504,561,512,1577
10001,10030,261,208,254,723
10001,10031,490,531,531,1552
10001,10032,453,492,420,1365
10001,10033,370,353,417,1140
10001,10034,259,283,326,868
10001,10035,255,292,237,784
10001,10036,456,173,507,1136
10001,10037,131,149,153,433
10001,10038,94,102,362,558
10001,10039,268,206,150,624
10001,10040,322,280,316,918
10001,10044,46,47,109,202
10001,10065,133,67,461,661
10001,10069,28,14,75,117
10001,10075,102,54,426,582
10001,10119,1,1,5,7
10001,10128,271,194,755,1220
10001,10162,6,4,40,50
10001,10173,2,0,0,2
10001,10199,0,0,3,3
10001,10280,38,21,166,225
10001,10282,9,9,49,67
10001,10301,168,181,258,607
10001,10302,46,78,66,190
10001,10303,84,122,111,317
10001,10304,152,190,187,529
10001,10305,110,97,238,445
10001,10306,135,106,273,514
10001,10307,39,15,55,109
10001,10308,76,39,121,236
10001,10309,71,51,140,262
10001,10310,86,88,114,288
10001,10312,117,99,252,468
10001,10314,239,198,435,872
10001,10451,241,359,169,769
10001,10452,412,651,258,1321
10001,10453,390,667,234,1291
10001,10454,187,298,94,579
10001,10455,231,354,138,723
10001,10456,551,759,248,1558
10001,10457,414,585,223,1222
10001,10458,342,457,218,1017
10001,10459,227,362,170,759
10001,10460,255,409,193,857
10001,10461,156,198,252,606
10001,10462,305,383,311,999
10001,10463,238,252,354,844
10001,10464,20,17,38,75
10001,10465,139,118,178,435
10001,10466,225,306,207,738
10001,10467,385,474,322,1181
10001,10468,290,392,252,934
10001,10469,222,255,192,669
10001,10470,68,87,59,214
10001,10471,96,69,137,302
10001,10472,273,406,217,896
10001,10473,251,328,268,847
10001,10474,50,56,38,144
10001,10475,135,169,156,460
10001,11001,17,14,10,41
10001,11004,33,37,48,118
10001,11005,5,3,6,14
10001,11040,3,0,10,13
10001,11101,182,162,503,847
10001,11102,252,213,489,954
10001,11103,309,225,626,1160
10001,11104,175,158,350,683
10001,11105,285,187,472,944
10001,11106,244,230,520,994
10001,11109,23,19,171,213
10001,11201,350,254,1179,1783
10001,11203,402,620,333,1355
10001,11204,199,241,319,759
10001,11205,254,221,578,1053
10001,11206,535,519,929,1983
10001,11207,491,717,415,1623
10001,11208,404,664,314,1382
10001,11209,251,238,758,1247
10001,11210,236,377,347,960
10001,11211,440,410,1722,2572
10001,11212,442,704,281,1427
10001,11213,391,469,488,1348
10001,11214,243,282,415,940
10001,11215,418,286,1366,2070
10001,11216,413,405,916,1734
10001,11217,219,200,788,1207
10001,11218,295,277,643,1215
10001,11219,142,178,285,605
10001,11220,228,356,400,984
10001,11221,553,575,781,1909
10001,11222,301,225,971,1497
10001,11223,217,215,420,852
10001,11224,138,145,124,407
10001,11225,415,460,649,1524
10001,11226,645,922,801,2368
10001,11228,137,123,248,508
10001,11229,169,234,455,858
10001,11230,271,313,577,1161
10001,11231,174,168,633,975
10001,11232,93,116,247,456
10001,11233,415,539,409,1363
10001,11234,295,335,452,1082
10001,11235,159,184,397,740
10001,11236,381,564,376,1321
10001,11237,285,299,547,1131
10001,11238,366,328,1164,1858
10001,11239,73,55,44,172
10001,11354,200,245,235,680
10001,11355,297,305,287,889
10001,11356,56,87,84,227
10001,11357,101,78,233,412
10001,11358,110,143,215,468
10001,11359,2,1,3,6
10001,11360,32,30,97,159
10001,11361,51,71,146,268
10001,11362,30,48,91,169
10001,11363,9,19,34,62
10001,11364,75,97,177,349
10001,11365,134,141,223,498
10001,11366,34,20,86,140
10001,11367,118,127,205,450
10001,11368,329,550,331,1210
10001,11369,151,165,201,517
10001,11370,84,104,147,335
10001,11371,1,0,0,1
10001,11372,334,368,458,1160
10001,11373,366,605,443,1414
10001,11374,171,213,427,811
10001,11375,258,204,796,1258
10001,11377,415,540,731,1686
10001,11378,147,124,222,493
10001,11379,150,117,284,551
10001,11385,483,515,778,1776
10001,11411,77,90,93,260
10001,11412,120,164,110,394
10001,11413,130,202,169,501
10001,11414,76,48,157,281
10001,11415,79,69,222,370
10001,11416,82,149,114,345
10001,11417,92,158,187,437
10001,11418,122,186,239,547
10001,11419,123,306,208,637
10001,11420,131,241,233,605
10001,11421,136,218,195,549
10001,11422,130,145,136,411
10001,11423,92,148,119,359
10001,11426,32,40,77,149
10001,11427,76,62,91,229
10001,11428,68,85,91,244
10001,11429,87,135,85,307
10001,11430,1,2,3,6
10001,11432,203,249,241,693
10001,11433,106,146,107,359
10001,11434,165,264,212,641
10001,11435,169,248,251,668
10001,11436,42,86,51,179
10001,11691,165,239,142,546
10001,11692,82,130,50,262
10001,11693,45,40,68,153
10001,11694,53,36,115,204
10001,11697,18,9,22,49
10002,10001,21,26,26,73
10002,10002,894,907,469,2270
10002,10003,45,46,71,162
10002,10004,2,7,8,17
10002,10005,3,7,10,20
10002,10006,4,1,5,10
10002,10007,6,5,16,27
10002,10009,166,209,161,536
10002,10010,19,30,27,76
10002,10011,28,39,51,118
10002,10012,42,32,26,100
10002,10013,86,82,60,228
10002,10014,20,12,25,57
10002,10016,21,24,50,95
10002,10017,7,14,9,30
10002,10018,8,11,15,34
10002,10019,37,35,37,109
10002,10021,9,6,27,42
10002,10022,15,26,28,69
10002,10023,28,28,37,93
10002,10024,5,18,28,51
10002,10025,41,43,65,149
10002,10026,24,42,38,104
10002,10027,41,63,59,163
10002,10028,16,27,26,69
10002,10029,93,105,55,253
10002,10030,21,28,40,89
10002,10031,24,64,31,119
10002,10032,33,60,30,123
10002,10033,36,65,39,140
10002,10034,25,47,24,96
10002,10035,38,52,25,115
10002,10036,24,34,21,79
10002,10037,13,24,18,55
10002,10038,70,53,35,158
10002,10039,12,33,26,71
10002,10040,20,46,20,86
10002,10044,5,2,13,20
10002,10065,10,6,26,42
10002,10069,3,3,4,10
10002,10075,8,4,25,37
10002,10128,35,30,52,117
10002,10162,0,0,1,1
10002,10280,7,3,7,17
10002,10282,0,1,5,6
10002,10301,17,22,35,74
10002,10302,7,7,19,33
10002,10303,7,17,24,48
10002,10304,29,21,35,85
10002,10305,29,34,36,99
10002,10306,10,24,37,71
10002,10307,2,3,10,15
10002,10308,6,6,22,34
10002,10309,7,9,23,39
10002,10310,9,17,28,54
10002,10312,14,12,33,59
10002,10314,29,54,82,165
10002,10451,18,36,30,84
10002,10452,31,51,23,105
10002,10453,31,51,27,109
10002,10454,12,32,16,60
10002,10455,18,39,39,96
10002,10456,28,43,28,99
10002,10457,18,53,24,95
10002,10458,22,42,20,84
10002,10459,21,29,30,80
10002,10460,17,30,17,64
10002,10461,13,16,24,53
10002,10462,16,47,35,98
10002,10463,18,29,30,77
10002,10464,2,3,2,7
10002,10465,16,15,25,56
10002,10466,6,18,18,42
10002,10467,22,56,38,116
10002,10468,19,59,15,93
10002,10469,14,24,26,64
10002,10470,1,5,5,11
10002,10471,9,8,6,23
10002,10472,13,30,23,66
10002,10473,12,32,18,62
10002,10474,2,8,7,17
10002,10475,15,15,24,54
10002,11001,0,2,3,5
10002,11004,1,5,8,14
10002,11040,0,0,1,1
10002,11101,23,33,32,88
10002,11102,25,24,52,101
10002,11103,28,44,44,116
10002,11104,11,17,39,67
10002,11105,24,28,42,94
10002,11106,16,43,40,99
10002,11109,4,1,4,9
10002,11201,47,57,85,189
10002,11203,43,63,102,208
10002,11204,158,180,80,418
10002,11205,53,45,70,168
10002,11206,123,136,130,389
10002,11207,64,107,93,264
10002,11208,73,113,92,278
10002,11209,42,75,86,203
10002,11210,33,56,59,148
10002,11211,75,108,162,345
10002,11212,66,81,70,217
10002,11213,46,64,68,178
10002,11214,152,182,100,434
10002,11215,26,42,113,181
10002,11216,62,88,108,258
10002,11217,19,44,60,123
10002,11218,46,83,86,215
10002,11219,138,133,61,332
10002,11220,227,209,67,503
10002,11221,97,147,140,384
10002,11222,52,63,89,204
10002,11223,111,116,84,311
10002,11224,34,36,39,109
10002,11225,32,69,75,176
10002,11226,75,106,107,288
10002,11228,67,91,62,220
10002,11229,120,115,93,328
10002,11230,73,71,68,212
10002,11231,36,23,57,116
10002,11232,34,42,33,109
10002,11233,46,73,93,212
10002,11234,54,79,138,271
10002,11235,77,71,47,195
10002,11236,44,61,114,219
10002,11237,85,106,72,263
10002,11238,43,59,126,228
10002,11239,10,10,9,29
10002,11354,59,52,37,148
10002,11355,98,116,70,284
10002,11356,26,18,15,59
10002,11357,27,29,38,94
10002,11358,25,26,29,80
10002,11359,0,3,0,3
10002,11360,12,13,6,31
10002,11361,7,20,23,50
10002,11362,3,11,17,31
10002,11363,2,8,5,15
10002,11364,20,32,23,75
10002,11365,34,27,29,90
10002,11366,1,4,8,13
10002,11367,24,17,19,60
10002,11368,57,104,59,220
10002,11369,14,26,30,70
10002,11370,15,20,19,54
10002,11371,0,1,0,1
10002,11372,50,61,58,169
10002,11373,133,145,68,346
10002,11374,44,29,47,120
10002,11375,30,61,78,169
10002,11377,81,90,101,272
10002,11378,30,36,35,101
10002,11379,30,39,50,119
10002,11385,112,160,114,386
10002,11411,1,3,10,14
10002,11412,5,8,22,35
10002,11413,4,9,14,27
10002,11414,4,7,14,25
10002,11415,15,15,12,42
10002,11416,28,32,31,91
10002,11417,22,39,42,103
10002,11418,33,30,30,93
10002,11419,12,44,44,100
10002,11420,11,27,37,75
10002,11421,42,65,43,150
10002,11422,4,8,13,25
